Time,(V(OUT))@219
0.0,0.0
5e-08,-0.04650090776018
5.280104577541e-08,-0.04910563589381
5.560246407986e-08,-0.0517103837084
6.120455563068e-08,-0.05691825294726
7.240873873234e-08,-0.06733025525222
9.481710493565e-08,-0.08813929825904
1.396338373423e-07,-0.1296974028331
2.292673021555e-07,-0.2125756700909
3.547946840525e-07,-0.3280972139045
5.646030336618e-07,-0.5197517399208
8.690158754587e-07,-0.7945837847311
1.367310705781e-06,-1.235974660024
2.114609900117e-06,-1.877490151243
2.863625708222e-06,-2.486620141845
4.069260779023e-06,-3.414053474719
5.000000001e-06,-4.104899519604
5.184936524438e-06,-4.0615250155
5.369930268334e-06,-4.017711175257
5.739812851952e-06,-3.928885757718
6.479578019188e-06,-3.746580551393
7.959108353661e-06,-3.365272782424
1.091816902261e-05,-2.550942640128
1.5000000001e-05,-1.359937112182
1.55000000009e-05,-0.7550648781678
1.624243545622e-05,0.1266263113759
1.6994693757e-05,0.9846641978143
1.847956466765e-05,2.624434882568
2.0000000001e-05,4.206625324217
2.029697418313e-05,4.221247501114
2.059787750344e-05,4.233053959203
2.11918258677e-05,4.253398926548
2.237972259621e-05,4.283743631362
2.374004364114e-05,4.275981662488
2.611583709817e-05,4.200279743721
3.086742401223e-05,3.867603659557
3.647960662942e-05,3.103704940865
4.598278045754e-05,1.580517647756
5.598339080911e-05,-0.06485556228833
6.486705780129e-05,-1.159226491768
7.384227752786e-05,-1.735195528267
8.309978485207e-05,-1.740821787151
9.182018280129e-05,-1.336368455844
0.000100174369813,-0.7270439175045
0.0001084034347544,-0.1057929728072
0.0001164310836802,0.3720806436831
0.0001251133346568,0.6942567974483
0.0001334476852427,0.7914092605514
0.0001424473190318,0.6846055818186
0.0001507145309458,0.4567221012281
0.0001590275192271,0.172938257368
0.000167654838563,-0.08472772013829
0.000176639213563,-0.2676455739437
0.0001857349777232,-0.3431106297405
0.0001941532516489,-0.3215392883569
0.0002022617721568,-0.2406654149747
0.0002104755783091,-0.1233186918508
0.0002190906906138,0.0004402957616386
0.0002279148483286,0.09453054558968
0.0002363956832896,0.142425095558
0.0002446613693247,0.1499402303009
0.0002529362106333,0.1255582099712
0.0002614979171763,0.07759131939815
0.0002701267623911,0.02086364675255
0.0002789722824107,-0.02760762422743
0.0002872379684458,-0.0554427374665
0.0002955082321177,-0.06680832247935
0.0003038639450083,-0.06257955168903
0.0003124775314341,-0.04541240410763
0.0003213199996958,-0.02072457028216
0.0003306400680552,0.004570672479913
0.0003389057540904,0.021064070928
0.0003471775436411,0.028610981891
0.0003555042648325,0.02877530528784
0.0003641315841685,0.02279563824613
0.0003731830978404,0.01250942123981
0.0003814487838755,0.002317432823807
0.0003897205734263,-0.006508496629227
0.0003980869674693,-0.01153649821364
0.0004063541793833,-0.01296971549733
0.0004148701095591,-0.01145268736885
0.0004234699630747,-0.007773113593821
0.0004317371749888,-0.003317367095953
0.0004400074386607,0.001008480769788
0.0004485538864146,0.0041671888651
0.0004568607711802,0.005544292038767
0.0004652820968638,0.005495377200914
0.0004735523605357,0.004350656960026
0.0004818226242075,0.002546118416236
0.0004901874923716,0.0005199415497841
0.0004987156295786,-0.00119616712434
0.0005,-0.001434237455338
